ticker,fiscal_year,net_sales,total_assets,selling_expenses,general_admin_expenses,intangible_assets_net,manufacturing_overhead,net_operating_income,raw_material_consumption,merchandise_purchase_year,wip_goods_purchase,outside_manufacturing_expenses,production_cost,rnd_expenses,net_income,total_equity,total_liabilities,cash_and_equivalents,long_term_debt,current_assets,current_liabilities,growth_ratio,inventory,net_ppe,shares_outstanding,market_value_equity,dividend_cash_paid,eps_basic,managerial_inside_own,state_own,institutional_own,foreign_own,employees_count,firm_age,product_innovation,process_innovation,net_cfo,capex,net_cfi
BCF,2020,591641978174.0,393763848739.0,39646950178.0,23636325752.0,230000000.0,172031736877.0,137254715884.0,248918311943.0,439868195448.0,22425889750.0,138310517723.0,499338580827.0,0.0,115805913343.0,274711345484.0,119052503255.0,53852142305.0,0.0,317269337435.0,119052503255.0,0.115,89012561216.0,57085226838.0,21083725,386000837300.0,-36812420890.0,4.83,0.5153,0.0,0.009,0.0,895.0,54,1,1,69816641923.0,-8884039678.0,-74925033167.0
BCF,2021,511689011348.0,406562636297.0,45495223869.0,22849191389.0,230000000.0,85974604592.0,86924450680.0,296832822314.0,395895450885.0,17258832150.0,55667219952.0,454040440131.0,0.0,59470399024.0,302707886636.0,103854749661.0,55823257553.0,0.0,323359793990.0,103648749661.0,-0.135,94445822494.0,44728078805.0,25300423,525413884441.0,-43335841650.0,2.126,0.5671,0.0,0.0046,0.0,915.0,55,1,1,64598996760.0,-25785954350.0,-10122969778.0
BCF,2022,697866434137.0,452082116662.0,58299855569.0,25729416849.0,230000000.0,86150710672.0,153284938500.0,405863754495.0,516277309771.0,28012526591.0,70261394265.0,589915227235.0,0.0,119051333482.0,339024090825.0,113058025837.0,84280790762.0,0.0,358937719443.0,112831025837.0,0.364,105075039881.0,75593720853.0,27830412,745354059840.0,-51640299890.0,3.887,0.5993,0.0,0.0011,0.0,870.0,56,1,1,81396036075.0,-27497502697.0,-29312112434.0
BCF,2023,594362876099.0,481412155283.0,42411356341.0,26668079720.0,230000000.0,96889324119.0,101252213454.0,350421347493.0,454275146138.0,23356768284.0,66419137529.0,521737608077.0,0.0,80063400481.0,353589597980.0,127822557303.0,79350966227.0,0.0,346349059175.0,127483437303.0,-0.148,104428860449.0,66230485706.0,32283180,746419404780.0,-47870103660.0,1.992,0.5995,0.0,0.001,0.0,816.0,57,1,1,79986470788.0,-61762807743.0,-39229683561.0
BCF,2024,761888236324.0,646644764210.0,50574300672.0,30428108872.0,264688651.0,89655519141.0,150290366387.0,466101923504.0,569965531255.0,28451159632.0,62725912610.0,655145108978.0,0.0,126459790610.0,395382822316.0,251261941894.0,93488227698.0,84814450983.0,406722778680.0,166242370911.0,0.282,112840859551.0,70668186488.0,33897213,1165386182940.0,-57788423900.0,3.046,0.6167,0.0,0.00078,0.0,822.0,58,1,1,129656041888.0,-160744770700.0,-140582862457.0
CDC,2020,322270550065.0,827617955010.0,62025387.0,22090454796.0,0.0,32126963633.0,35150768216.0,25647355628.0,248931600713.0,202169150104.0,17148756134.0,318913907551.0,0.0,27820615365.0,250432216257.0,577185738753.0,48935134573.0,77864886232.0,743186551538.0,490398628676.0,-0.32,205122696016.0,9651472683.0,15706406,218319043400.0,-62825624000.0,1.227,0.21,0.0,0.24,0.004,90.0,45,0,0,13436712849.0,-75000000.0,15791410802.0
CDC,2021,769063338995.0,1287018991211.0,1927176758.0,35921160468.0,66827000000.0,49339083561.0,24085587027.0,27569236634.0,496632215880.0,210649010454.0,190955807531.0,775746040936.0,0.0,30652671909.0,311068239311.0,975950751900.0,25311722545.0,43453452708.0,1083605214094.0,901160357579.0,1.39,218688903616.0,54518668582.0,21988716,670655838000.0,-975111083.0,1.351,0.11,0.0,0.24,0.0149,355.0,46,0,0,-206110133278.0,-13808156534.0,-86089784311.0
CDC,2022,1325252226853.0,1650432255789.0,3295361978.0,47113751711.0,65106133047.0,43714952717.0,-755885925.0,101294482964.0,638965505344.0,226171501758.0,469263322582.0,675163984934.0,0.0,4489610719.0,321308778598.0,1329123477191.0,92839374434.0,38562095072.0,1450373116832.0,1019925873711.0,0.72,243168716619.0,120219735578.0,21988716,401294067000.0,-1810392000.0,166.0,0.07,0.0,0.24,0.0149,258.0,47,0,0,-152715292946.0,-3176826872.0,52935514212.0
CDC,2023,1303709442511.0,1805882232685.0,1869547896.0,40420645149.0,63385266094.0,31956326685.0,30905472947.0,199819999191.0,512848660288.0,379036290901.0,573349870954.0,867176395386.0,0.0,10655793482.0,338314478919.0,1467567753766.0,121234285956.0,37124328926.0,1613192772213.0,1216344692532.0,-0.02,382430670682.0,118543560220.0,21988716,395796888000.0,-1249900800.0,389.0,0.03,0.0,0.24,0.0446,245.0,48,0,0,-47615537155.0,-8803914359.0,-100108072418.0
CDC,2024,1168778153337.0,2006032571909.0,1472197062.0,38489332004.0,63385266094.0,166844258694.0,11920153222.0,201842302651.0,640732858317.0,336397263587.0,133876928525.0,445186583774.0,0.0,23325502666.0,456518640345.0,1549513931564.0,23693652340.0,184170857773.0,1606697004677.0,1176618475106.0,-0.1,337990318787.0,7519188110.0,21988716,374907607800.0,-4633873200.0,1.094,0.03,0.0,0.24,0.0041,261.0,49,0,1,-34412175045.0,-469217273.0,-97540633616.0
